Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
LearningBrain,0.266,9.218,7.413,1001,-0.939
LearningBrain,0.235,16.495,6.309,1001,-0.960
LearningBrain,0.233,23.807,6.339,1007,-0.953
LearningBrain,0.225,30.847,6.122,1014,-0.931
LearningBrain,0.262,38.168,6.325,1002,-0.923
LearningBrain,0.232,45.598,6.447,1004,-0.931
LearningBrain,0.228,52.788,6.232,1008,-0.901
LearningBrain,0.230,60.319,6.538,1021,-0.896
LearningBrain,0.227,67.517,6.240,1009,-0.881
LearningBrain,0.246,74.957,6.426,1015,-0.868
LearningBrain,0.230,82.019,6.123,1004,-0.853
LearningBrain,0.229,88.941,6.005,1001,-0.837
LearningBrain,0.253,95.914,6.025,1010,-0.822
LearningBrain,0.232,103.227,6.334,1021,-0.805
LearningBrain,0.260,110.237,6.050,1001,-0.787
LearningBrain,0.238,117.791,6.534,1026,-0.772
LearningBrain,0.250,125.149,6.363,1020,-0.762
LearningBrain,0.228,132.547,6.429,1058,-0.750
LearningBrain,0.226,139.232,5.806,1007,-0.742
LearningBrain,0.233,146.064,5.923,1013,-0.734
LearningBrain,0.226,152.857,5.893,1014,-0.726
LearningBrain,0.225,159.607,5.862,1004,-0.702
LearningBrain,0.256,166.413,5.874,1008,-0.683
LearningBrain,0.226,173.663,6.283,1005,-0.662
LearningBrain,0.252,181.143,6.471,1071,-0.644
LearningBrain,0.240,188.349,6.239,1001,-0.626
LearningBrain,0.227,195.697,6.372,1003,-0.609
LearningBrain,0.225,202.701,6.078,1011,-0.594
LearningBrain,0.263,209.962,6.268,1014,-0.575
LearningBrain,0.226,216.718,5.872,1015,-0.554
LearningBrain,0.240,223.862,6.189,1005,-0.532
LearningBrain,0.237,231.070,6.243,1005,-0.510
LearningBrain,0.225,238.101,6.111,1003,-0.491
LearningBrain,0.228,245.157,6.120,1002,-0.480
LearningBrain,0.255,252.493,6.330,1022,-0.467
LearningBrain,0.231,259.869,6.396,1004,-0.456
LearningBrain,0.230,267.115,6.280,1004,-0.437
LearningBrain,0.225,274.449,6.337,1014,-0.426
LearningBrain,0.231,281.654,6.249,1023,-0.416
LearningBrain,0.235,288.621,6.041,1012,-0.403
LearningBrain,0.253,296.001,6.371,1008,-0.385
LearningBrain,0.240,303.439,6.439,1005,-0.375
LearningBrain,0.225,310.594,6.213,1002,-0.362
LearningBrain,0.252,317.826,6.245,1013,-0.358
LearningBrain,0.240,325.227,6.404,1008,-0.347
LearningBrain,0.231,332.902,6.652,1017,-0.338
LearningBrain,0.236,340.278,6.261,1004,-0.330
LearningBrain,0.233,347.686,6.416,1016,-0.319
LearningBrain,0.233,354.616,6.006,1011,-0.309
LearningBrain,0.226,362.139,6.543,1055,-0.302
LearningBrain,0.227,368.829,5.816,1006,-0.292
LearningBrain,0.228,375.462,5.764,1020,-0.283
LearningBrain,0.236,382.601,6.194,1018,-0.270
LearningBrain,0.228,389.674,6.142,1030,-0.264
LearningBrain,0.285,396.802,6.138,1012,-0.257
LearningBrain,0.225,404.170,6.392,1010,-0.246
LearningBrain,0.233,411.270,6.156,1027,-0.239
LearningBrain,0.239,418.314,6.093,1004,-0.232
LearningBrain,0.224,425.224,5.998,1003,-0.225
LearningBrain,0.232,431.922,5.811,1006,-0.218
LearningBrain,0.233,439.015,6.150,1020,-0.212
LearningBrain,0.226,445.991,6.054,1006,-0.204
LearningBrain,0.239,452.849,5.944,1025,-0.195
LearningBrain,0.226,459.765,6.002,1004,-0.184
LearningBrain,0.234,466.865,6.150,1008,-0.178
LearningBrain,0.225,473.686,5.919,1002,-0.170
LearningBrain,0.226,480.555,5.962,1025,-0.164
LearningBrain,0.234,487.398,5.934,1013,-0.159
LearningBrain,0.234,494.376,6.050,1031,-0.155
LearningBrain,0.232,501.458,6.129,1010,-0.150
LearningBrain,0.227,508.160,5.821,1020,-0.146
LearningBrain,0.227,515.540,6.407,1024,-0.138
LearningBrain,0.233,522.477,6.021,1025,-0.129
LearningBrain,0.249,530.582,6.996,1001,-0.122
LearningBrain,0.228,538.538,6.891,1016,-0.117
LearningBrain,0.232,545.363,5.924,1005,-0.110
LearningBrain,0.244,552.528,6.199,1011,-0.104
LearningBrain,0.229,559.711,6.232,1001,-0.096
LearningBrain,0.224,566.493,5.884,1003,-0.089
LearningBrain,0.227,573.292,5.893,1002,-0.082
LearningBrain,0.226,580.258,6.046,1020,-0.076
LearningBrain,0.219,587.010,5.866,1005,-0.071
LearningBrain,0.232,593.905,5.984,1006,-0.065
LearningBrain,0.225,600.781,5.979,1002,-0.059
LearningBrain,0.240,607.956,6.217,1008,-0.053
LearningBrain,0.240,615.083,6.176,1010,-0.047
LearningBrain,0.228,622.184,6.170,1004,-0.042
LearningBrain,0.232,629.302,6.180,1011,-0.037
LearningBrain,0.225,636.239,6.025,1006,-0.030
LearningBrain,0.233,643.141,5.984,1007,-0.024
LearningBrain,0.229,650.117,6.053,1022,-0.019
LearningBrain,0.240,656.927,5.891,1001,-0.013
LearningBrain,0.231,664.378,6.285,1003,-0.007
LearningBrain,0.238,671.742,6.372,1009,-0.002
LearningBrain,0.260,678.967,6.241,1006,0.001
LearningBrain,0.227,686.472,6.505,1012,0.008
LearningBrain,0.227,693.663,6.241,1014,0.013
LearningBrain,0.232,700.827,6.200,1005,0.016
LearningBrain,0.230,708.062,6.276,1017,0.021
LearningBrain,0.235,714.957,5.978,1011,0.025
LearningBrain,0.233,721.883,5.996,1002,0.031
LearningBrain,0.236,728.948,6.125,1016,0.037
LearningBrain,0.238,735.784,5.922,1006,0.040
LearningBrain,0.242,742.659,5.959,1036,0.044
LearningBrain,0.240,749.598,6.012,1015,0.047
LearningBrain,0.239,756.444,5.937,1003,0.049
LearningBrain,0.240,763.221,5.866,1003,0.052
LearningBrain,0.237,769.885,5.771,1002,0.056
LearningBrain,0.240,776.736,5.935,1026,0.059
LearningBrain,0.227,784.634,6.952,1008,0.064
LearningBrain,0.228,791.268,5.769,1005,0.068
LearningBrain,0.228,798.038,5.896,1026,0.071
LearningBrain,0.226,804.803,5.883,1039,0.075
LearningBrain,0.230,811.367,5.703,1002,0.079
LearningBrain,0.229,817.946,5.711,1005,0.083
LearningBrain,0.227,824.549,5.739,1013,0.088
LearningBrain,0.229,831.164,5.749,1007,0.093
LearningBrain,0.226,837.733,5.711,1001,0.097
LearningBrain,0.230,844.327,5.732,1006,0.100
LearningBrain,0.228,850.945,5.751,1005,0.103
LearningBrain,0.226,857.491,5.690,1004,0.107
LearningBrain,0.233,864.204,5.831,1027,0.111
LearningBrain,0.220,870.814,5.748,1002,0.115
LearningBrain,0.230,877.564,5.864,1023,0.119
LearningBrain,0.228,884.306,5.866,1026,0.124
LearningBrain,0.228,890.894,5.725,1003,0.128
LearningBrain,0.227,897.589,5.825,1018,0.133
LearningBrain,0.229,904.272,5.813,1019,0.136
LearningBrain,0.227,910.952,5.807,1011,0.139
LearningBrain,0.226,917.683,5.850,1004,0.143
LearningBrain,0.228,924.318,5.766,1011,0.147
LearningBrain,0.228,930.927,5.744,1001,0.149
LearningBrain,0.226,937.516,5.726,1012,0.152
LearningBrain,0.226,944.133,5.751,1002,0.157
LearningBrain,0.232,950.871,5.856,1009,0.162
LearningBrain,0.232,957.542,5.802,1011,0.165
LearningBrain,0.226,964.150,5.743,1007,0.169
LearningBrain,0.229,970.871,5.845,1029,0.171
LearningBrain,0.228,977.626,5.767,1007,0.173
LearningBrain,0.229,984.215,5.727,1002,0.176
LearningBrain,0.228,990.816,5.735,1002,0.179
LearningBrain,0.226,997.526,5.835,1006,0.183
LearningBrain,0.231,1004.098,5.708,1002,0.186
LearningBrain,0.231,1010.666,5.703,1018,0.187
LearningBrain,0.218,1017.229,5.702,1017,0.189
LearningBrain,0.226,1023.812,5.723,1031,0.191
LearningBrain,0.227,1030.481,5.789,1039,0.192
LearningBrain,0.248,1037.672,6.252,1122,0.194
LearningBrain,0.222,1043.822,5.459,1008,0.194
LearningBrain,0.230,1050.723,6.007,1067,0.196
LearningBrain,0.226,1056.840,5.436,1005,0.197
